date,site,plot_code,subplot_code,x,y,number,species,sample_id,identified_by,height,dbh,measured_by,notes,flag,growth_form,foliar_habit,compoundness
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,58,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,61,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,65,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,69,Pouteria_amygdalina,NA,OV,13,NA,OV,NA,NA,Tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,71,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,78,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,83,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,85,Diospyros_salicifolia,3,OV,13,NA,OV,NA,NA,Tree/shrub,Drought-deciduous,Simple
2022-03-23T00:00:00Z,INT_10J,INT,10J,8,10,4,Paullinia_bracteosa,1,OV,13,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,1,Zygia_sp,2,OV,13,NA,OV,This quadrat crosses an edge that may have been cleared,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,3,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,5,Psidium_sartorianum,NA,OV,13,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,19,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,2,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,11,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,22,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,31,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,42,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,6,Lonchocarpus_rugosus,NA,AG,13,NA,AG,NA,NA,Tree,Brevi-deciduous,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,50,Psidium_sartorianum,NA,AG,13,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,64,Amyris_elemifera,10,OV,13,NA,AG,NA,NA,Tree,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,31,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,37,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,42,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,59,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,62,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,72,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_10J,INT,10J,8,10,5,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,6,Psidium_sartorianum,NA,OV,14,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,9,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,4,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,7,Psidium_sartorianum,NA,OV,14,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,8,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,17,Zygia_sp,2,OV,14,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,11,Eugenia_capuli,9,OV,14,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,43,Pouteria_amygdalina,NA,AG,14,NA,AG,NA,NA,Tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,32,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,34,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,43,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,45,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,51,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,54,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,60,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,66,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,38,Psidium_sartorianum,NA,OV,15,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,1,Pouteria_amygdalina,NA,OV,15,NA,OV,NA,NA,Tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,10,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,1,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,3,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,5,Zygia_sp,2,OV,15,NA,OV,NA,NA,Tree,Unknown,Compound
